id;table_id;group_id;is_playoff;playoff_round;playoff_match_number;bracket_position;large_playoff_round;player1_id;player2_id;score1;score2;winner_id;status;next_match_id;next_match_slot;display_order;created_at;updated_at;live_referee_id;court_id;start_at;rr_round_number;rr_match_index;set_scores;current_set;total_sets;serving_side;sides_swapped;score_history;match_timer_started_at;match_timer_elapsed_seconds;court_name
ea16cea1-98aa-4d8e-ac30-1a87b2a7f1bd;95fe148d-c264-42b8-bf92-dd309c302728;dc897423-781e-4a29-b18d-813357e728f4;false;;;;;758d2cf4-72f6-4ccc-a0ca-0cff59061481;acb0a2e2-48c0-4cee-8877-bc82696a2e5f;;;;pending;;;0;2026-02-01 08:20:12.561715+00;2026-02-01 08:20:12.561715+00;;;;;;[];1;1;1;false;[];;0;
e0a6b83b-7438-4383-9078-baa5aea8a7d7;95fe148d-c264-42b8-bf92-dd309c302728;dc897423-781e-4a29-b18d-813357e728f4;false;;;;;758d2cf4-72f6-4ccc-a0ca-0cff59061481;18539aa7-c316-48ff-967a-4f5dcfec7add;;;;pending;;;1;2026-02-01 08:20:12.561715+00;2026-02-01 08:20:12.561715+00;;;;;;[];1;1;1;false;[];;0;
0b5b3c3b-7987-4847-aac8-36df7b4086dd;95fe148d-c264-42b8-bf92-dd309c302728;dc897423-781e-4a29-b18d-813357e728f4;false;;;;;758d2cf4-72f6-4ccc-a0ca-0cff59061481;0ea10caf-0c2f-4825-97a0-c254e65350cd;;;;pending;;;2;2026-02-01 08:20:12.561715+00;2026-02-01 08:20:12.561715+00;;;;;;[];1;1;1;false;[];;0;
7023d51c-23c0-4f5e-a130-afdb1bd6f423;95fe148d-c264-42b8-bf92-dd309c302728;dc897423-781e-4a29-b18d-813357e728f4;false;;;;;758d2cf4-72f6-4ccc-a0ca-0cff59061481;3565baa3-9d5d-400e-ae41-1f119ebb9e52;;;;pending;;;3;2026-02-01 08:20:12.561715+00;2026-02-01 08:20:12.561715+00;;;;;;[];1;1;1;false;[];;0;
e0ce1904-aef5-4e8d-bb35-3e781b6f21d2;95fe148d-c264-42b8-bf92-dd309c302728;dc897423-781e-4a29-b18d-813357e728f4;false;;;;;758d2cf4-72f6-4ccc-a0ca-0cff59061481;23cfff6c-06f8-4406-815e-4cf6afcb8d5d;;;;pending;;;4;2026-02-01 08:20:12.561715+00;2026-02-01 08:20:12.561715+00;;;;;;[];1;1;1;false;[];;0;
c2e01c94-9b53-44f8-a8f4-a01a38c2af9a;95fe148d-c264-42b8-bf92-dd309c302728;dc897423-781e-4a29-b18d-813357e728f4;false;;;;;acb0a2e2-48c0-4cee-8877-bc82696a2e5f;18539aa7-c316-48ff-967a-4f5dcfec7add;;;;pending;;;5;2026-02-01 08:20:12.561715+00;2026-02-01 08:20:12.561715+00;;;;;;[];1;1;1;false;[];;0;
85f02d28-d4af-46d2-8c91-726580f6e834;95fe148d-c264-42b8-bf92-dd309c302728;dc897423-781e-4a29-b18d-813357e728f4;false;;;;;acb0a2e2-48c0-4cee-8877-bc82696a2e5f;0ea10caf-0c2f-4825-97a0-c254e65350cd;;;;pending;;;6;2026-02-01 08:20:12.561715+00;2026-02-01 08:20:12.561715+00;;;;;;[];1;1;1;false;[];;0;
62dd2753-85ad-475d-802e-855fb4a4b0b4;95fe148d-c264-42b8-bf92-dd309c302728;dc897423-781e-4a29-b18d-813357e728f4;false;;;;;acb0a2e2-48c0-4cee-8877-bc82696a2e5f;3565baa3-9d5d-400e-ae41-1f119ebb9e52;;;;pending;;;7;2026-02-01 08:20:12.561715+00;2026-02-01 08:20:12.561715+00;;;;;;[];1;1;1;false;[];;0;
fbeef8f1-4ee6-4485-aa11-b0ce65b1c38c;95fe148d-c264-42b8-bf92-dd309c302728;dc897423-781e-4a29-b18d-813357e728f4;false;;;;;acb0a2e2-48c0-4cee-8877-bc82696a2e5f;23cfff6c-06f8-4406-815e-4cf6afcb8d5d;;;;pending;;;8;2026-02-01 08:20:12.561715+00;2026-02-01 08:20:12.561715+00;;;;;;[];1;1;1;false;[];;0;
6257df01-c769-4280-b826-68b9d444a942;95fe148d-c264-42b8-bf92-dd309c302728;dc897423-781e-4a29-b18d-813357e728f4;false;;;;;18539aa7-c316-48ff-967a-4f5dcfec7add;0ea10caf-0c2f-4825-97a0-c254e65350cd;;;;pending;;;9;2026-02-01 08:20:12.561715+00;2026-02-01 08:20:12.561715+00;;;;;;[];1;1;1;false;[];;0;
435f9d11-7346-4323-ab69-963aa04edd8a;95fe148d-c264-42b8-bf92-dd309c302728;dc897423-781e-4a29-b18d-813357e728f4;false;;;;;18539aa7-c316-48ff-967a-4f5dcfec7add;3565baa3-9d5d-400e-ae41-1f119ebb9e52;;;;pending;;;10;2026-02-01 08:20:12.561715+00;2026-02-01 08:20:12.561715+00;;;;;;[];1;1;1;false;[];;0;
